,persName,rolename
450,"CAMPBELL, Rt. Hon. SIR RONALD I.",C.B.
451,"CAMPBELL, STAFFORD F.",O.B.E.
452,"CANE, SIR CYRIL H.",K.B.E.
453,"CANNING, MARK",C.M.G.
454,"CANNON, NICHOLAS",O.B.E.
455,"CAPE, DONALD P.M.S.",C.M.G.
456,"CAPELING, JULIET MARIC",O.B.E.
457,"CAPIE, RONALD R.",M.B.E.
458,"CAPPER, Major CHARLES F.",C.M.G.
459,"CARADON, Rt. Hon. HUGH, LORD",G.C.M.G.
460,"CARADON, Rt. Hon. HUGH, LORD",K.C.V.O.
461,"CARADON, Rt. Hon. HUGH, LORD",O.B.E.
462,"CARDEN, DERRICK C. (BILL)",C.M.G.
463,"CARDEN, SIR LIONEL E.G.",K.C.M.G.
464,"CAREY-FOSTER, GEORGE A.",C.M.G.
465,"CAREY-FOSTER, GEORGE A.",D.F.C.
466,"CAREY-FOSTER, GEORGE A.",A.F.C.
467,"CARLESS, HUGH M.",C.M.G.
468,"CARNEGIE, Rt. Hon. SIR LANCELOT D.",G.C.V.O.
469,"CARNEGIE, Rt. Hon. SIR LANCELOT D.",K.C.M.G.
470,"CARRICK, SIR ROGER J.",K.C.M.G.
471,"CARRICK, SIR ROGER J.",L.V.O.
472,"CARRINGTON, Rt. Hon. PETER, 6th LORD",K.G.
473,"CARRINGTON, Rt. Hon. PETER, 6th LORD",G.C.M.G.
474,"CARRINGTON, Rt. Hon. PETER, 6th LORD",C.H.
475,"CARRINGTON, Rt. Hon. PETER, 6th LORD",M.C.
476,"CARRUTHERS, COLIN M.",C.M.G.
477,"CARSE, WILLIAM M.",C.B.E.
478,"CARTER, ANDREW",C.M.G.
479,"CARTER, DAVID",C.V.O.
480,"CARTER, PEERS L.",C.M.G.
481,"CARTER, PETER A.",C.M.G.
482,"CARTER, SIR R.H. ARCHIBALD",G.C.M.G.
483,"CARTER, SIR R.H. ARCHIBALD",K.C.B.
484,"CARTER, SIR R.H. ARCHIBALD",K.C.I.E.
485,"CARTER, R.W. BERNARD",C.M.G.
486,"CARTER, WILLIAM S.",C.V.O.
487,"CARTLEDGE, SIR BRYAN G.",K.C.M.G.
488,"CARTWRIGHT, Rt. Hon. SIR FAIRFAX L.",G.C.M.G.
489,"CARTWRIGHT, Rt. Hon. SIR FAIRFAX L.",C.V.O.
490,"CARTWRIGHT, SIR W. CHAUNCY",K.C.M.G.
491,"CARVELL, JOHN E.M.",C.B.E.
492,"CARY, ANTHONY J.",C.M.G.
493,"CASEMENT, SIR ROGER D.",C.M.G.
494,"CASEY, NIGEL P.",C.M.G.
495,"CASEY, NIGEL P.",M.V.O.
496,"CASSON, JOHN D.",C.M.G.
497,"CAVE, SIR BASIL S.",K.C.M.G.
